
74 FF Ret%			0
75 FF Ret&			0
76 FF Ret*			0
77 FF Ret$			0

78 FF &to%			0
79 FF *to%			0
7A FF *to&			0
7B FF %to&			0
7C FF %to*			0
7D FF &to*			0

80 FF Void%			0
81 FF Void&			0
82 FF Void*			0
83 FF Void$			0

84 FF Assign%		0
85 FF Assign&		0
86 FF Assign*		0
87 FF Assign$		0

88 FF Print%		0
89 FF Print&		0
8A FF Print*		0
8B FF Print$		0

8C FF LPrint%		0
8D FF LPrint&		0
8E FF LPrint*		0
8F FF LPrint$		0

90 FF PrintTab		0
91 FF LprintTab		0
92 FF PrintCR		0
93 FF LprintCR		0

94 FF Input%		0
95 FF Input&		0
96 FF Input*		0
97 FF Input$		0

98 FF Poke%			0
99 FF Poke&			0
9A FF Poke*			0
9B FF Poke$			0

9C FF Pokeb%		0

9D FF APPEND		0
9E FF AT			0
9F FF BACK			0
A0 FF BEEP			0
A1 FF CLOSE			0
A2 FF CLS			0

A4 FF COPY			0
A5 FF CREATE		10
A6 FF CURSOR		5
A7 FF DELETE		0
A8 FF ERASE			0
A9 FF ESCAPE		0
AA FF FIRST			0
AB FF VECTOR		11
AC FF LAST			0
AD FF LCLOSE		0
AE FF LOADM			0
AF FF LOPEN			0
B0 FF NEXT			0
B1 FF ONERR			7
B2 FF OFF			0
B3 FF OFF			0
B4 FF OPEN			10
B5 FF PAUSE			0
B6 FF POSITION		0
B7 FF IOSIGNAL		0
B8 FF RAISE			0
B9 FF RANDOMIZE		0
BA FF RENAME		0
BB FF EXIT			0
BC FF TRAP			0
BD FF UPDATE		0
BE FF USE			5

BF FF Goto			7
C0 FF Return        0

C1 FF UNLOADM		0
C2 FF EDIT			0
C3 FF SCREEN		0
C4 FF OPENR			10
C5 FF gSAVEBIT		5
C6 FF gCLOSE		0
C7 FF gUSE			0
C8 FF gSETWIN		5
C9 FF gVISIBLE		8
CA FF gFONT			0
CB FF gUNLOADFONT	0
CC FF gGMODE		0
CD FF gTMODE		0
CE FF gSTYLE		0
CF FF gORDER		0

D1 FF gCLS			0
D2 FF gAT			0
D3 FF gMOVE			0

D4 FF gPRINT%		0
D5 FF gPRINT&		0
D6 FF gPRINT*		0
D7 FF gPRINT$		0
D8 FF gPRINTTAB		0
D9 FF gPRINTB		5

DA FF gLINEBY		0
DB FF gBOX			0

DE FF gPOLY			0
DF FF gFILL			0
E0 FF gPATT			0
E1 FF gCOPY			0
E2 FF gSCROLL		5
E3 FF gUPDATE		8
E4 FF getEvent		0
E5 FF gLINETO		0
E6 FF gPEEKLINE		0
E7 FF SCREEN		0
E8 FF IOWAITSTAT	0
E9 FF IOYIELD		0
EA FF mINIT			0
EB FF mCARD			5
EC FF dINIT			5

ED 00 dTEXT			5
ED 01 dCHOICE		0
ED 02 dLONG			0
ED 03 dFLOAT		0
ED 04 dTIME			0
ED 05 dDATE			0
ED 06 dEDIT			0
ED 07 dEDIT			0
ED 08 dXINPUT		0
ED 09 dFILE			0
ED 0A dBUTTONS		5
ED 0B dPOSITION		0



F0 FF BUSY			5
F1 FF LOCK          8
F2 FF gINVERT		0
F3 FF gXPRINT		0
F4 FF gBORDER		5
F5 FF gCLOCK		5

F8 FF MKDIR			0
F9 FF RMDIR			0
FA FF SETPATH		0
FB FF SECSTODATE	0
FC FF giPRINT		5

FF 00 gGREY			0
FF 01 DEFAULTWIN	0


FF 04 FONT			0
FF 05 STYLE			0
FF 06 USESPRITE		0
FF 07 APPENDSPRITE	0
FF 08 DRAWSPRITE	0
FF 09 CHANGESPRITE	0
FF 0A POSSPRITE		0
FF 0B CLOSESPRITE	0
FF 0C FREEALLOC		0

FF 0F gBUTTON		0
FF 10 gXBORDER		5

FF 14 SCREENINFO	0

FF 18 CALLOPX       13

FF 22 GetEvent32    0
FF 23 GetEventA32   0
FF 24 gCOLOR		0

FF 26 SetDoc		0

FF 29 IOWaitStat32  0
FF 30 MCasc			5

FF 33 dCHECK		0
